f1,f2,ov_current,ov_fixed,ov_float,ia1_fixed,ia2_fixed,ia1_float,ia2_float,bbox_area,cf1_fixed_v,cf1_float_v,cf2_fixed_v,cf2_float_v,cf1_raw_area2,cf2_raw_area2,cf1_float_over,cf2_float_over,notes
19,27,0,0,0,1776.127612,1776.127612,0.000000,0.000000,5.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
20,21,0,0,0,1776.127612,1776.127612,0.000000,0.000000,108.000000,3,0,3,0,-15256820014874,-8><>>:<4:8<9:,1,1,
20,26,0,0,0,1776.127612,1776.127612,0.000000,0.000000,14.000000,3,0,3,0,-15256820014874,-15256820014874,1,1,
20,28,0,0,0,23.262146,23.262146,0.000000,0.000000,6.000000,3,0,3,0,-199820312576,-199820312576,1,1,
21,26,0,0,0,23.262146,23.262146,0.000000,0.000000,12.000000,3,0,3,0,-199820312576,-199820312576,1,1,
25,26,0,1,0,23.262146,23.262146,0.000000,0.000000,45.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
27,28,0,1,0,23.262146,23.262146,0.000000,0.000000,224.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
27,29,0,1,0,23.262146,23.262146,0.000000,0.000000,115.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
27,34,0,1,0,23.262146,23.262146,0.000000,0.000000,87.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
27,35,0,0,0,23.262146,23.262146,0.000000,0.000000,20.000000,3,0,3,0,-199820312576,-199820312576,1,1,
27,42,0,0,0,23.262146,23.262146,0.000000,0.000000,16.000000,3,0,3,0,-199820312576,-199820312576,1,1,
28,29,0,1,0,23.262146,23.262146,0.000000,0.000000,300.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
28,36,0,1,0,23.262146,23.262146,0.000000,0.000000,35.000000,3,0,3,0,-199820312576,-199820312576,1,1,ov_fixed!=ov_float;cur!=fixed
28,37,0,0,0,23.262146,8.147118,0.000000,0.000000,8.000000,3,0,3,0,-199820312576,69983209772,1,1,
29,37,0,0,0,0.396339,0.396339,0.000000,0.000000,3.000000,3,0,3,0,-3404529664,-3404529664,0,0,
33,34,0,0,0,0.396339,0.396339,0.000000,0.000000,27.000000,3,0,3,0,-3404529664,-3404529664,0,0,
33,41,0,0,0,0.000000,8.122322,0.000000,0.000000,4.000000,4,0,4,0,0,-69770213712,0,1,
34,41,0,1,0,11.499155,17.558461,0.000000,0.000000,12.000000,4,0,3,0,-98776986714,-150826027671,1,1,ov_fixed!=ov_float;cur!=fixed
34,42,0,0,0,17.558461,17.558461,0.000000,0.000000,16.000000,3,0,3,0,-150826027671,-150826027671,1,1,
35,36,0,1,0,17.558461,17.558461,0.000000,0.000000,429.000000,3,0,3,0,-150826027671,-150826027671,1,1,ov_fixed!=ov_float;cur!=fixed
35,37,0,1,0,17.558461,17.558461,0.000000,0.000000,160.000000,3,0,3,0,-150826027671,-150826027671,1,1,ov_fixed!=ov_float;cur!=fixed
35,42,0,1,0,17.558461,17.558461,0.000000,0.000000,210.000000,3,0,3,0,-150826027671,-150826027671,1,1,ov_fixed!=ov_float;cur!=fixed
35,43,0,1,0,24.000023,24.000023,0.000000,0.000000,48.000000,3,0,3,0,-206158626816,-206158626816,1,1,ov_fixed!=ov_float;cur!=fixed
35,50,0,1,0,24.000023,187.038831,0.000000,0.000000,63.000000,3,0,4,0,-206158626816,-1606651321215,1,1,ov_fixed!=ov_float;cur!=fixed
36,37,0,1,0,187.038831,187.038831,0.000000,0.000000,555.000000,4,0,4,0,-1606651321215,-1606651321215,1,1,ov_fixed!=ov_float;cur!=fixed
36,44,0,0,0,187.038831,187.038831,0.000000,0.000000,70.000000,4,0,4,0,-1606651321215,-1606651321215,1,1,
36,45,0,0,0,187.038831,3215.117055,0.000000,0.000000,13.000000,4,0,5,0,-1606651321215,191>3;>>9456,1,1,
37,45,0,0,0,0.774887,0.774887,0.000000,0.000000,6.000000,3,0,3,0,-6656229376,-6656229376,0,0,
41,42,0,0,0,0.774887,0.774887,0.000000,0.000000,78.000000,3,0,3,0,-6656229376,-6656229376,0,0,
42,50,0,0,0,0.774887,0.774887,0.000000,0.000000,33.000000,3,0,3,0,-6656229376,-6656229376,0,0,
43,44,0,0,0,0.774887,0.774887,0.000000,0.000000,3645.000000,3,0,3,0,-6656229376,-6656229376,0,0,
43,45,0,0,0,0.774887,0.774887,0.000000,0.000000,2304.000000,3,0,3,0,-6656229376,-6656229376,0,0,
43,50,0,0,0,0.774887,0.774887,0.000000,0.000000,4002.000000,3,0,3,0,-6656229376,-6656229376,0,0,
43,51,0,0,0,0.774887,0.774887,0.000000,0.000000,42.000000,3,0,3,0,-6656229376,-6656229376,0,0,
43,58,0,0,0,0.774887,0.774887,0.000000,0.000000,66.000000,3,0,3,0,-6656229376,-6656229376,0,0,
44,45,0,0,0,0.774887,0.774887,0.000000,0.000000,3645.000000,3,0,3,0,-6656229376,-6656229376,0,0,
44,50,0,0,0,0.774887,0.774887,0.000000,0.000000,1755.000000,3,0,3,0,-6656229376,-6656229376,0,0,
44,52,0,0,0,0.774887,0.774887,0.000000,0.000000,63.000000,3,0,3,0,-18<;>0000,-6656229376,0,0,
45,50,0,0,0,0.774887,0.774887,0.000000,0.000000,512.000000,3,0,3,0,-18<;>0000,-6656229376,0,0,
50,58,0,0,0,0.774887,0.774887,0.000000,0.000000,33.000000,3,0,3,0,-6656229376,-6656229376,0,0,
51,52,0,0,0,0.774887,0.774887,0.000000,0.000000,228.000000,3,0,3,0,-6656229376,-6656229376,0,0,
51,58,0,0,0,0.774887,0.774887,0.000000,0.000000,440.000000,3,0,3,0,-6656229376,-6656229376,0,0,
51,59,0,0,0,0.774887,0.774887,0.000000,0.000000,18.000000,3,0,3,0,-6656229376,-6656229376,0,0,
51,66,0,0,0,0.774887,0.774887,0.000000,0.000000,26.000000,3,0,3,0,-6656229376,-6656229376,0,0,
52,60,0,0,0,0.774887,0.774887,0.000000,0.000000,30.000000,3,0,3,0,-6656229376,-41000=6100,0,0,
58,66,0,0,0,0.774887,0.774887,0.000000,0.000000,14.000000,3,0,3,0,-6656229376,-6656229376,0,0,
59,60,0,0,0,0.774887,0.774887,0.000000,0.000000,44.000000,3,0,3,0,-6656229376,-6656229376,0,0,
59,66,0,0,0,0.774887,0.774887,0.000000,0.000000,138.000000,3,0,3,0,-6656229376,-6656229376,0,0,
